DATE,PM2.5,PM10,CO2,HCHO
2023-07-18 00:00:17,5,7,1119,0.044
2023-07-18 00:01:17,4,6,1120,0.043
2023-07-18 00:02:17,4,7,1121,0.045
2023-07-18 00:03:17,4,7,1120,0.045
2023-07-18 00:04:17,4,7,1120,0.043
2023-07-18 00:05:16,5,8,1120,0.045
2023-07-18 00:06:17,4,6,1121,0.043
2023-07-18 00:07:17,4,6,1120,0.045
2023-07-18 00:08:17,4,6,1120,0.045
2023-07-18 00:09:17,4,7,1119,0.043
2023-07-18 00:10:17,4,6,1118,0.042
2023-07-18 00:11:16,4,6,1117,0.045
2023-07-18 00:12:17,4,6,1117,0.044
2023-07-18 00:13:17,4,7,1116,0.043
2023-07-18 00:14:17,5,7,1116,0.044
2023-07-18 00:15:17,4,6,1114,0.045
2023-07-18 00:16:17,4,6,1114,0.044
2023-07-18 00:17:17,4,6,1114,0.045
2023-07-18 00:18:17,4,7,1114,0.043
2023-07-18 00:19:17,4,6,1114,0.045
2023-07-18 00:20:17,4,6,1113,0.044
2023-07-18 00:21:17,4,7,1113,0.044
2023-07-18 00:22:17,4,7,1113,0.044
2023-07-18 00:23:17,4,7,1113,0.043
2023-07-18 00:24:17,4,6,1112,0.045
2023-07-18 00:25:17,4,6,1110,0.045
2023-07-18 00:26:17,4,6,1110,0.044
2023-07-18 00:27:17,4,6,1110,0.045
2023-07-18 00:28:17,4,7,1109,0.043
2023-07-18 00:29:17,4,7,1109,0.045
2023-07-18 00:30:17,3,5,1109,0.045
2023-07-18 00:31:17,4,7,1109,0.045
2023-07-18 00:32:17,5,8,1109,0.045
2023-07-18 00:33:17,4,7,1109,0.044
2023-07-18 00:34:17,4,7,1108,0.045
2023-07-18 00:35:17,4,7,1109,0.043
2023-07-18 00:36:17,4,7,1109,0.044
2023-07-18 00:37:17,4,7,1108,0.043
2023-07-18 00:38:17,4,7,1108,0.044
2023-07-18 00:39:17,4,6,1108,0.043
2023-07-18 00:40:17,4,6,1108,0.044
2023-07-18 00:41:17,4,6,1107,0.044
2023-07-18 00:42:17,4,5,1107,0.043
2023-07-18 00:43:17,3,5,1107,0.045
2023-07-18 00:44:17,4,6,1107,0.045
2023-07-18 00:45:17,4,6,1107,0.043
2023-07-18 00:46:17,3,5,1108,0.045
2023-07-18 00:47:17,3,5,1107,0.044
2023-07-18 00:48:17,4,6,1107,0.043
2023-07-18 00:49:17,4,6,1107,0.045
2023-07-18 00:50:17,4,6,1107,0.044
2023-07-18 00:51:17,3,5,1108,0.045
2023-07-18 00:52:17,4,5,1108,0.044
2023-07-18 00:53:17,4,6,1108,0.044
2023-07-18 00:54:17,3,6,1109,0.043
2023-07-18 00:55:17,3,6,1109,0.043
2023-07-18 00:56:17,3,6,1110,0.044
2023-07-18 00:57:17,4,6,1110,0.045
2023-07-18 00:58:17,3,6,1109,0.045
2023-07-18 00:59:17,3,5,1109,0.043
2023-07-18 01:00:18,4,6,1109,0.044
2023-07-18 01:01:17,4,7,1109,0.042
2023-07-18 01:02:17,4,6,1109,0.044
2023-07-18 01:03:17,4,6,1109,0.044
2023-07-18 01:04:17,4,6,1109,0.044
2023-07-18 01:05:18,3,5,1109,0.043
2023-07-18 01:06:18,3,5,1110,0.044
2023-07-18 01:07:17,4,6,1110,0.044
2023-07-18 01:08:17,4,7,1110,0.042
2023-07-18 01:09:17,3,5,1110,0.045
2023-07-18 01:10:17,3,6,1110,0.044
2023-07-18 01:11:18,4,6,1110,0.043
2023-07-18 01:12:18,3,5,1112,0.043
2023-07-18 01:13:17,4,6,1112,0.044
2023-07-18 01:14:17,4,6,1113,0.043
2023-07-18 01:15:17,3,4,1114,0.043
2023-07-18 01:16:17,3,5,1116,0.044
2023-07-18 01:17:18,3,5,1117,0.043
2023-07-18 01:18:18,3,5,1118,0.044
2023-07-18 01:19:17,3,6,1118,0.043
2023-07-18 01:20:17,3,5,1118,0.044
2023-07-18 01:21:17,3,5,1117,0.043
2023-07-18 01:22:17,3,5,1118,0.043
2023-07-18 01:23:18,3,5,1118,0.043
2023-07-18 01:24:18,4,6,1117,0.043
2023-07-18 01:25:17,3,4,1117,0.043
2023-07-18 01:26:17,4,6,1116,0.043
2023-07-18 01:27:17,3,4,1117,0.043
2023-07-18 01:28:17,3,5,1116,0.043
2023-07-18 01:29:18,3,5,1117,0.043
2023-07-18 01:30:18,3,5,1117,0.043
2023-07-18 01:31:17,4,6,1116,0.043
2023-07-18 01:32:17,3,5,1116,0.044
2023-07-18 01:33:17,3,5,1115,0.044
2023-07-18 01:34:17,4,5,1115,0.043
2023-07-18 01:35:18,3,5,1115,0.043
2023-07-18 01:36:18,3,5,1114,0.043
2023-07-18 01:37:17,3,4,1113,0.043
2023-07-18 01:38:17,3,5,1113,0.044
2023-07-18 01:39:17,3,5,1113,0.043
2023-07-18 01:40:17,3,5,1114,0.041
2023-07-18 01:41:18,3,5,1115,0.043
2023-07-18 01:42:18,3,5,1114,0.043
2023-07-18 01:43:17,3,5,1113,0.043
2023-07-18 01:44:17,3,5,1112,0.043
2023-07-18 01:45:17,3,5,1113,0.043
2023-07-18 01:46:17,3,4,1112,0.043
2023-07-18 01:47:18,3,5,1112,0.043
2023-07-18 01:48:18,3,5,1112,0.043
2023-07-18 01:49:18,3,4,1112,0.042
2023-07-18 01:50:17,3,4,1112,0.043
2023-07-18 01:51:17,3,4,1112,0.041
2023-07-18 01:52:17,3,4,1112,0.043
2023-07-18 01:53:18,3,4,1112,0.043
2023-07-18 01:54:18,3,5,1112,0.043
2023-07-18 01:55:18,3,5,1112,0.043
2023-07-18 01:56:18,3,5,1112,0.043
2023-07-18 01:57:17,3,5,1111,0.043
2023-07-18 01:58:17,3,5,1110,0.043
2023-07-18 01:59:17,2,4,1110,0.043
2023-07-18 02:00:17,2,4,1112,0.042
2023-07-18 02:01:18,2,4,1112,0.043
2023-07-18 02:02:18,3,4,1112,0.043
2023-07-18 02:03:18,3,5,1112,0.043
2023-07-18 02:04:17,3,4,1112,0.041
2023-07-18 02:05:17,3,5,1112,0.042
2023-07-18 02:06:17,3,5,1113,0.043
2023-07-18 02:07:17,2,4,1112,0.043
2023-07-18 02:08:18,3,5,1112,0.043
2023-07-18 02:09:18,2,4,1112,0.042
2023-07-18 02:10:18,3,4,1111,0.043
2023-07-18 02:11:18,3,5,1110,0.043
2023-07-18 02:12:17,3,5,1110,0.042
2023-07-18 02:13:17,3,4,1111,0.043
2023-07-18 02:14:17,3,5,1110,0.043
2023-07-18 02:15:18,3,4,1112,0.042
2023-07-18 02:16:18,3,4,1112,0.042
2023-07-18 02:17:18,2,4,1112,0.043
2023-07-18 02:18:18,2,4,1113,0.042
2023-07-18 02:19:17,2,3,1113,0.042
2023-07-18 02:20:17,3,4,1111,0.043
2023-07-18 02:21:17,2,3,1111,0.043
2023-07-18 02:22:18,2,4,1112,0.041
2023-07-18 02:23:18,2,3,1111,0.043
2023-07-18 02:24:18,2,4,1111,0.043
2023-07-18 02:25:18,2,4,1110,0.042
2023-07-18 02:26:18,2,4,1111,0.043
2023-07-18 02:27:17,2,3,1112,0.043
2023-07-18 02:28:17,2,4,1112,0.043
2023-07-18 02:29:18,2,4,1113,0.043
2023-07-18 02:30:19,3,4,1112,0.044
2023-07-18 02:31:19,2,4,1112,0.041
2023-07-18 02:32:19,2,4,1112,0.043
2023-07-18 02:33:19,3,4,1110,0.043
2023-07-18 02:34:19,2,3,1110,0.043
2023-07-18 02:35:18,2,3,1110,0.041
2023-07-18 02:36:18,2,3,1112,0.043
2023-07-18 02:37:19,2,3,1112,0.043
2023-07-18 02:38:19,2,4,1112,0.043
2023-07-18 02:39:19,2,4,1112,0.043
2023-07-18 02:40:19,3,5,1112,0.043
2023-07-18 02:41:19,3,4,1112,0.042
2023-07-18 02:42:18,2,3,1112,0.042
2023-07-18 02:43:18,2,4,1112,0.043
2023-07-18 02:44:19,2,4,1112,0.043
2023-07-18 02:45:19,2,4,1112,0.043
2023-07-18 02:46:19,2,4,1112,0.042
2023-07-18 02:47:19,2,4,1112,0.041
2023-07-18 02:48:19,3,4,1111,0.042
2023-07-18 02:49:19,2,4,1110,0.043
2023-07-18 02:50:18,2,4,1110,0.042
2023-07-18 02:51:19,2,4,1110,0.041
2023-07-18 02:52:19,2,4,1110,0.043
2023-07-18 02:53:19,3,4,1110,0.041
2023-07-18 02:54:19,2,4,1108,0.042
2023-07-18 02:55:19,2,3,1106,0.044
2023-07-18 02:56:19,3,5,1107,0.041
2023-07-18 02:57:18,2,4,1108,0.041
2023-07-18 02:58:18,2,3,1108,0.042
2023-07-18 02:59:19,2,3,1108,0.043
2023-07-18 03:00:19,2,4,1109,0.043
2023-07-18 03:01:19,2,3,1108,0.042
2023-07-18 03:02:19,2,3,1108,0.042
2023-07-18 03:03:19,2,3,1108,0.041
2023-07-18 03:04:19,2,4,1109,0.041
2023-07-18 03:05:18,1,3,1110,0.042
2023-07-18 03:06:19,2,3,1110,0.041
2023-07-18 03:07:19,2,3,1110,0.041
2023-07-18 03:08:19,2,3,1110,0.041
2023-07-18 03:09:19,2,3,1110,0.042
2023-07-18 03:10:19,2,4,1110,0.042
2023-07-18 03:11:19,2,3,1111,0.041
2023-07-18 03:12:18,3,4,1111,0.041
2023-07-18 03:13:19,2,3,1111,0.041
2023-07-18 03:14:19,2,3,1110,0.042
2023-07-18 03:15:19,3,4,1110,0.041
2023-07-18 03:16:19,2,2,1109,0.041
2023-07-18 03:17:19,2,3,1109,0.041
2023-07-18 03:18:19,2,3,1110,0.042
2023-07-18 03:19:19,2,3,1109,0.041
2023-07-18 03:20:19,2,3,1109,0.041
2023-07-18 03:21:19,2,3,1108,0.041
2023-07-18 03:22:19,2,3,1108,0.041
2023-07-18 03:23:19,2,4,1108,0.041
2023-07-18 03:24:19,2,4,1108,0.041
2023-07-18 03:25:19,3,4,1106,0.041
2023-07-18 03:26:19,2,3,1106,0.041
2023-07-18 03:27:19,2,4,1105,0.041
2023-07-18 03:28:19,2,3,1106,0.040
2023-07-18 03:29:19,3,4,1106,0.041
2023-07-18 03:30:19,3,4,1106,0.041
2023-07-18 03:31:19,2,4,1106,0.041
2023-07-18 03:32:19,2,3,1106,0.041
2023-07-18 03:33:19,2,4,1105,0.043
2023-07-18 03:34:20,3,4,1105,0.042
2023-07-18 03:35:20,2,4,1111,0.041
2023-07-18 03:36:20,3,5,1109,0.041
